107,0.4805180786
1684,0.3377974497
3437,0.2361153574
1912,0.2292953396
1085,0.1490150921
0,0.1463059215
698,0.1153304502
567,0.0963103312
58,0.0843602059
428,0.0643090624
563,0.0627802285
860,0.0578259069
414,0.047633373
1577,0.039784705
348,0.0379980975
1718,0.0373428707
686,0.0297218984
594,0.0288031982
136,0.0268703598
3980,0.0248200336
1465,0.0245718389
171,0.0154924073
862,0.0117477778
483,0.0103082659
2543,0.0076046267
3830,0.0064369414
376,0.0061956464
1666,0.0061747674
1420,0.00605658
1534,0.005948477
713,0.0050141354
475,0.0049984948
1405,0.004097163
828,0.0039631606
1505,0.0037819723
745,0.0036360103
173,0.0036310041
34,0.0036020881
719,0.003283023
2347,0.0031998747
1165,0.0031611315
805,0.0030524125
484,0.0028984846
747,0.0027149095
1171,0.002512039
830,0.0023714693
703,0.0022798922
353,0.0021405943
1361,0.0019978523
697,0.0019645954
596,0.0019158285
823,0.0018850652
3756,0.0018565256
389,0.001816392
526,0.0017951948
566,0.0017873987
1941,0.0017270959
4031,0.0017101224
2266,0.0017078202
1642,0.0016822538
517,0.0016732883
198,0.0016628781
3877,0.0016470166
651,0.0015916624
3684,0.0015851327
119,0.0015229359
637,0.0015180451
1656,0.0015051676
2047,0.0014761343
363,0.0014526319
580,0.0014411206
1419,0.0014287365
2007,0.0014232041
2542,0.0013570237
3495,0.0013538585
3561,0.0013256457
1758,0.0013073995
3633,0.0013061066
538,0.0012845215
803,0.001266962
2468,0.0012128796
3851,0.0011859063
366,0.001175982
3456,0.0011633884
3948,0.0011524702
3677,0.0011410184
990,0.0011124903
1352,0.0011108898
1663,0.0011001112
810,0.0010874804
56,0.0010850657
2289,0.0010849113
800,0.00106801
2133,0.0010130372
819,0.0010102653
2189,0.0010028141
606,0.0009971808
774,0.000987434
322,0.0009635116
1173,0.0009424797
21,0.0009380244
2268,0.0009329267
1126,0.0009168877
67,0.0009118521
3861,0.0009068862
1687,0.0009065374
1726,0.0008676832
412,0.0008673348
1621,0.0008622884
373,0.0008579959
1835,0.0008210014
2117,0.0007994002
3674,0.0007942669
1376,0.000791024
3173,0.000779993
3577,0.0007607538
925,0.0007564083
1553,0.0007549496
3592,0.0007464254
122,0.000745776
419,0.0007430651
798,0.0007421234
3525,0.0007339511
916,0.0007164342
1074,0.0007083637
420,0.0006988475
3454,0.0006922299
1317,0.0006864787
1954,0.0006811286
1536,0.0006799114
553,0.000670285
1450,0.0006681437
315,0.000657066
840,0.0006341459
1029,0.00063135
1522,0.0006306175
1483,0.0006302997
460,0.0006212141
708,0.0006112002
3501,0.0006098888
1086,0.0006036876
1289,0.0005941286
395,0.0005902699
304,0.0005888932
3440,0.0005883593
2199,0.000583711
609,0.0005800581
2143,0.0005663727
497,0.0005652444
1593,0.0005534174
1688,0.0005501599
2642,0.0005477193
1847,0.0005425254
2283,0.0005407704
